Country,ShortName,Continent,Latitude,Longitude,SumVisits2011Q1,SumVisits2011Q2,SumVisits2011Q3,SumVisits2011Q4,SumVisits2012Q1,SumVisits2012Q2,SumVisits2012Q3,SumVisits2012Q4,SumVisits2013Q1,SumVisits2013Q2,SumVisits2013Q3,SumVisits2013Q4,SumVisits2014Q1,SumVisits2014Q2,SumVisits2014Q3,SumVisits2014Q4,SumVisits2015Q1,SumVisits2015Q2,SumVisits2015Q3,SumVisits2015Q4,SumVisits2016Q1,SumVisits2016Q2,SumVisits2016Q3,SumVisits2016Q4,SumVisits2017Q1,SumVisits2017Q2,SumVisits2017Q3,SumVisits2017Q4,SumVisits2018Q1,SumVisits2018Q2,SumVisits2018Q3,SumSpend2011Q1,SumSpend2011Q2,SumSpend2011Q3,SumSpend2011Q4,SumSpend2012Q1,SumSpend2012Q2,SumSpend2012Q3,SumSpend2012Q4,SumSpend2013Q1,SumSpend2013Q2,SumSpend2013Q3,SumSpend2013Q4,SumSpend2014Q1,SumSpend2014Q2,SumSpend2014Q3,SumSpend2014Q4,SumSpend2015Q1,SumSpend2015Q2,SumSpend2015Q3,SumSpend2015Q4,SumSpend2016Q1,SumSpend2016Q2,SumSpend2016Q3,SumSpend2016Q4,SumSpend2017Q1,SumSpend2017Q2,SumSpend2017Q3,SumSpend2017Q4,SumSpend2018Q1,SumSpend2018Q2,SumSpend2018Q3
Mexico,MX,NA,23.634501,-102.552784,6.325,11.359,8.634,9.089,4.723,12.542,12.787,7.235,9.293,16.553,26.969,8.433,5.783,14.696,17.333,6.747,10.742,14.786,18.704,7.082,4.119,12.368,26.976,13.209,15.286,20.650,23.667,20.119,20.997,19.119,17.227,6.629,8.659,9.098,9.631,2.005,9.598,7.450,3.407,8.276,12.158,14.104,4.982,8.676,9.431,14.575,4.908,6.146,9.617,9.765,6.301,3.536,11.109,14.711,10.563,8.717,12.519,26.598,9.113,11.836,11.999,12.438
Netherlands,NL,EU,52.132633,5.291266,83.554,99.172,88.262,95.339,93.707,94.689,83.843,118.302,88.167,108.141,112.180,109.624,93.067,124.929,116.182,135.579,88.111,118.049,93.503,153.369,97.647,167.243,124.023,174.360,148.514,170.976,145.012,144.160,127.939,106.192,118.299,29.740,47.783,33.861,48.051,33.143,36.260,48.234,49.727,34.625,56.948,50.234,47.307,42.320,66.244,73.921,56.115,36.044,41.789,45.974,72.056,41.185,66.550,54.900,70.436,59.499,71.040,61.934,47.172,57.165,40.748,46.968
New Zealand,NZ,OC,-40.900557,174.885971,6.686,22.857,36.165,11.341,10.313,18.092,30.829,17.431,5.685,17.907,37.796,14.615,13.019,15.604,39.145,11.604,8.779,24.328,38.667,20.551,10.690,21.672,43.099,11.403,18.236,21.081,34.616,8.246,10.194,23.077,39.668,6.691,12.349,34.353,8.542,4.617,9.495,17.928,13.366,2.790,9.839,24.515,5.941,12.854,10.310,24.777,8.832,4.740,11.654,23.978,34.733,8.185,20.721,25.566,8.664,12.919,19.094,28.346,6.753,8.877,31.582,26.998
Nigeria,NG,AF,9.081999,8.675277,20.460,28.885,31.670,25.075,25.929,28.425,37.079,17.290,18.644,32.028,39.147,29.411,17.302,18.886,31.121,27.342,18.634,22.556,26.389,20.574,15.588,9.750,27.468,12.296,14.556,21.810,20.692,18.978,13.536,15.517,30.567,31.582,43.877,40.573,46.016,44.811,36.392,53.974,40.332,36.257,43.137,52.778,46.254,44.275,18.196,63.478,39.418,29.391,27.191,35.415,29.667,20.073,16.289,33.938,41.891,11.890,58.061,27.458,34.521,13.242,22.715,34.064
Norway,NO,EU,60.472024,8.468946,74.328,94.798,89.895,120.381,88.781,109.594,75.937,120.795,110.547,111.343,121.442,131.295,109.021,112.027,114.437,129.761,94.733,107.669,108.458,117.014,89.360,102.438,70.580,117.973,78.832,88.567,70.326,96.359,56.465,95.639,106.070,33.757,66.785,57.199,77.505,49.058,59.530,41.452,84.969,71.817,62.761,75.840,87.417,64.626,77.652,70.039,89.136,59.454,60.823,53.546,66.005,51.377,63.667,42.713,70.453,42.660,52.792,36.256,56.001,34.542,71.840,59.744
Oman,OM,AS,21.4735329,55.975413,1.425,2.022,4.236,0.401,1.785,1.546,4.161,0.984,1.170,1.210,4.233,4.561,1.254,3.324,3.809,1.220,2.741,2.424,5.071,4.024,4.329,5.398,9.451,2.530,3.137,3.319,12.065,3.013,1.788,4.877,9.284,1.306,2.866,5.510,1.456,2.129,1.191,5.301,1.261,2.366,1.227,75.042,6.751,1.504,2.448,5.270,1.012,5.406,3.492,3.119,7.668,3.343,2.616,9.726,8.862,0.487,5.430,14.115,3.797,2.503,3.063,20.136
Pakistan,PK,AS,30.375321,69.345116,7.189,8.249,10.512,5.457,6.881,11.363,7.966,10.332,5.417,6.475,19.257,5.708,9.218,5.007,24.277,9.159,5.465,9.386,13.239,7.056,6.629,4.155,18.330,7.807,5.569,6.330,24.307,11.139,9.140,15.591,13.215,10.516,14.635,25.370,3.992,10.268,10.881,11.552,9.272,4.477,11.173,39.719,8.233,7.854,9.146,16.895,8.733,5.365,9.261,11.572,15.596,6.056,4.839,15.725,18.578,17.096,15.437,35.217,13.744,8.814,11.423,6.891
Poland,PL,EU,51.919438,19.145136,57.522,60.008,68.472,62.793,50.146,57.766,82.757,85.747,62.525,87.957,66.322,102.815,65.622,62.480,81.199,84.584,78.566,115.108,100.189,93.215,91.583,105.930,74.435,117.946,75.665,116.917,100.398,98.102,102.601,110.519,65.247,23.405,23.126,31.356,50.129,16.644,18.397,42.365,34.811,30.024,31.910,31.213,47.888,19.324,22.421,38.024,31.856,21.680,34.392,39.353,57.678,39.771,28.834,27.563,43.873,21.209,50.376,36.937,40.388,30.831,31.310,30.159
Portugal,PT,EU,39.399872,-8.224454,36.741,34.132,36.860,50.423,41.718,34.129,30.577,41.447,22.799,37.961,23.777,42.786,42.716,45.640,41.408,53.012,55.603,57.987,44.202,57.072,68.800,74.002,47.862,77.877,57.546,63.207,64.548,57.385,29.162,72.983,44.996,15.562,14.084,17.466,27.686,21.866,19.860,14.456,22.792,11.528,14.682,14.222,18.467,18.565,23.412,13.316,28.285,23.889,24.980,16.055,34.235,36.456,28.843,18.824,30.738,21.059,33.483,33.031,37.106,13.929,29.772,12.505
Qatar,QA,AS,25.354826,51.183884,5.153,3.184,7.586,7.116,4.720,7.641,8.396,8.105,8.026,7.711,12.665,13.499,7.258,7.872,10.669,7.048,8.221,8.137,11.141,8.496,8.657,6.211,23.659,12.846,15.949,10.270,22.444,9.108,11.928,8.274,15.985,11.709,14.308,8.439,25.805,8.209,15.968,19.114,23.018,27.246,25.001,29.313,72.420,24.106,21.635,34.309,20.010,21.044,24.433,33.380,17.139,20.247,23.464,56.231,26.274,41.638,33.706,39.083,51.309,35.058,13.047,31.126
Romania,RO,EU,45.943161,24.96676,20.991,22.498,30.997,20.065,20.718,15.144,15.668,22.885,28.972,33.412,31.190,29.063,29.126,17.207,20.358,43.442,33.224,29.475,37.704,62.886,39.978,34.110,31.133,64.337,64.462,71.345,46.234,56.470,45.823,30.980,49.883,7.508,12.416,18.965,13.668,11.588,12.217,8.022,14.579,16.317,19.696,25.672,23.200,14.413,9.872,11.392,19.287,16.745,15.793,31.213,46.404,20.129,49.297,18.849,29.208,34.338,26.945,26.808,34.944,37.083,10.514,44.715
Russia,RU,EU,61.52401,105.318756,29.653,32.179,48.273,38.304,34.188,39.484,41.526,31.137,30.761,32.534,39.297,38.223,28.990,33.932,48.408,45.472,20.303,30.879,20.519,21.412,24.251,22.571,21.623,16.101,23.561,49.871,29.820,43.803,33.197,23.705,34.885,35.086,39.696,58.394,98.384,42.306,33.714,46.991,36.337,30.379,35.879,41.351,59.606,34.795,38.780,58.176,37.584,13.512,30.530,16.687,16.943,17.618,19.622,21.511,15.373,25.003,42.303,28.524,38.701,46.407,26.014,29.702
Saudi Arabia,SA,AS,23.885942,45.079162,10.442,12.377,32.502,10.599,9.797,17.684,24.633,22.328,11.777,16.496,30.469,29.930,17.323,19.391,44.518,14.905,17.915,22.494,43.400,18.650,17.811,11.855,48.295,22.671,19.370,24.672,52.455,11.946,18.502,25.013,53.147,38.792,29.213,87.066,20.322,26.782,39.538,71.022,65.489,30.117,30.648,71.461,80.219,37.732,54.086,117.702,31.666,40.624,52.430,160.421,62.369,32.854,22.103,133.992,50.009,55.932,85.527,562.232,21.639,81.038,42.548,140.198
