type,date,AF,AS,EUR,NA,OC,SA,Total
Spend,01/04/2016,74.4679231,444.2615953,1120.890215,543.4137971,125.5737942,33.50092829,2342.108253
Spend,01/07/2016,79.36406605,851.7751651,1156.524804,494.0749682,148.9379768,56.20563711,2786.882617
Spend,01/10/2016,108.9700229,557.9993247,1352.179301,630.7159902,72.56937472,33.24626471,2755.680278
Spend,01/01/2017,84.56873916,617.1888152,972.8069722,414.8141234,88.17032537,41.42667274,2218.975648
Spend,01/04/2017,103.985279,670.1585734,1188.755412,689.8997049,132.8305867,72.46041659,2858.089972
Spend,01/07/2017,90.29974943,1640.336369,1043.848715,724.4105223,178.1990648,45.6017309,3722.696151
Spend,01/10/2017,84.44788259,556.1165469,1143.356865,490.2866289,113.9904179,36.64027582,2424.838617
Spend,01/01/2018,60.37029965,620.5540026,895.2521498,454.8148387,72.6026405,53.9088346,2157.502766
Spend,01/04/2018,53.76621678,647.4723619,1016.226358,609.5630858,165.4371404,57.58755045,2550.052714
Spend,01/07/2018,77.00924999,994.012995,976.6768313,606.6826374,150.8504071,124.7110654,2929.943186
SpendPerVisit,01/01/2011,1.258289627,1.171192747,0.435383498,0.844122753,0.914194121,2.264251059,0.626354084
SpendPerVisit,01/04/2011,1.190185727,1.021537052,0.513414868,0.71835668,0.841068788,0.741196198,0.63607165
SpendPerVisit,01/07/2011,1.106359101,1.301873315,0.529607534,0.704459745,0.710709597,1.04704906,0.705661957
SpendPerVisit,01/10/2011,1.406896085,1.250738852,0.577021068,0.880032333,0.93254017,0.92821593,0.724552068
SpendPerVisit,01/01/2012,1.297406965,1.334121447,0.464789486,0.780719685,0.748080499,0.882829619,0.642869139
SpendPerVisit,01/04/2012,1.160173346,1.239027098,0.515073,0.790086442,0.795754376,0.804746751,0.676277034
SpendPerVisit,01/07/2012,1.311277967,1.675347982,0.593714194,0.94860416,0.879828958,1.524333844,0.870884968
SpendPerVisit,01/10/2012,1.4626012,1.500220889,0.495859682,0.831821384,0.792399387,1.020410263,0.689946258
SpendPerVisit,01/01/2013,1.337521584,1.672044496,0.486076862,0.79517666,0.725845637,1.35976742,0.714280658
SpendPerVisit,01/04/2013,1.282788909,1.629785903,0.480171224,0.82729412,0.944592167,0.874633257,0.709952825
SpendPerVisit,01/07/2013,1.07788628,1.67211851,0.546821884,0.749777517,0.714996196,0.766029565,0.774812583
SpendPerVisit,01/10/2013,1.323885861,2.017831477,0.572668381,0.951224613,0.796186424,1.056342818,0.844251296
SpendPerVisit,01/01/2014,2.408970604,1.683344681,0.475664417,0.802870531,1.053640233,0.935195101,0.726314774
SpendPerVisit,01/04/2014,1.212081853,1.384400132,0.497512733,0.779999294,0.941246963,0.786120122,0.679501261
SpendPerVisit,01/07/2014,1.39833943,1.602863185,0.594818879,0.833448114,0.79131512,0.822598711,0.819613998
SpendPerVisit,01/10/2014,1.882051765,1.434361348,0.525834835,1.093538034,1.081950689,0.727069855,0.740417885
SpendPerVisit,01/01/2015,1.177029608,1.314774618,0.458946727,1.011989387,0.775031843,0.606456992,0.653876336
SpendPerVisit,01/04/2015,1.28943378,1.683211174,0.483945356,0.843849682,0.901624559,0.627332271,0.703225141
SpendPerVisit,01/07/2015,1.130287596,1.392996473,0.512761987,0.70801009,0.738038187,0.79468961,0.717898922
SpendPerVisit,01/10/2015,1.346410906,1.536179851,0.492864336,1.010169461,1.182795218,1.513497494,0.737326294
SpendPerVisit,01/01/2016,1.142713933,1.290372343,0.456978252,0.854963198,1.223893818,0.813105093,0.637671064
SpendPerVisit,01/04/2016,1.669290474,1.179653549,0.446306618,0.872873959,0.963524455,0.691679822,0.627236259
SpendPerVisit,01/07/2016,1.030847774,1.262958108,0.546526454,0.675560865,0.636407665,0.936157284,0.715874263
SpendPerVisit,01/10/2016,2.255635662,1.387628402,0.495618326,1.066264949,0.787549541,0.850754301,0.706322928
SpendPerVisit,01/01/2017,1.653611318,1.407973282,0.425097287,0.8279283,0.851322901,0.761286291,0.64562534
SpendPerVisit,01/04/2017,1.59570607,1.329393399,0.462835432,0.845444414,0.85055524,1.10871016,0.684533347
SpendPerVisit,01/07/2017,1.11013555,2.181119095,0.483096251,0.903598005,0.798880771,0.875364813,0.914442479
SpendPerVisit,01/10/2017,1.403436119,1.225025763,0.497712201,0.859495162,1.166724456,0.952113754,0.689270117
SpendPerVisit,01/01/2018,1.41244343,1.390897914,0.481579842,0.887608363,0.785315294,0.763605948,0.713616076
SpendPerVisit,01/04/2018,1.004778052,1.322940033,0.443677131,0.848831874,1.256336418,0.926293405,0.6808555
SpendPerVisit,01/07/2018,0.923085428,1.435770824,0.470510491,0.681225389,0.684710123,1.644205855,0.725545172
